### Format: relation|@id|@name|@place|@highway|@route|@ref|@oneway|@maxspeed|relation_type|membertype;@id;@role|...
### Format: way|@id|@name|@place|@highway|@route|@ref|@oneway|@maxspeed|member nodes|...
### Format: node|@id|@name|@place|@highway|@route|@ref|@oneway|@maxspeed|node_lat|node_lon
node|51123913||||||||42.5769394|1.6255729
node|51123914||||||||42.5774793|1.625935
node|51123916||||||||42.5777237|1.6262783
node|51123917||||||||42.5778014|1.6264592
node|51123918||||||||42.5778332|1.6266404
node|51123919||||||||42.5776761|1.6281022
node|51123920||||||||42.5777045|1.628432
node|51123921||||||||42.5777945|1.6287823
node|51123922||||||||42.5782401|1.6296847
node|51123924||||||||42.5785075|1.6303687
node|51123925||||||||42.5785418|1.6307013
node|51123926||||||||42.5785118|1.6311197
node|51124044||||||||42.5741387|1.6191134
node|51124045||||||||42.5743264|1.620197
node|51124046||||||||42.5747014|1.6213699
node|51124047||||||||42.5748698|1.6216113
node|51124048||||||||42.575227|1.621986
node|51124483||||||||42.5720501|1.6119609
node|51124484||||||||42.5721123|1.6123479
node|51124485||||||||42.5721226|1.6132842
node|51124486||||||||42.5731906|1.6172841
node|51124487||||||||42.5732775|1.6176087
node|51124488||||||||42.5734565|1.6180266
node|51124489||||||||42.573765|1.6184759
node|51124490||||||||42.5740834|1.6188934
node|51124700||||||||42.5722696|1.6139695
node|51124890||||||||42.5714594|1.6086126
node|51124891||||||||42.5715301|1.6087988
node|51124892||||||||42.5715701|1.6098649
node|51124893||||||||42.571501|1.6104467
node|51124895||||||||42.5715068|1.6107159
node|51124975||||||||42.5713384|1.6083897
node|51125152||||||||42.5686067|1.6041508
node|51125154||||||||42.5687367|1.6043821
node|51125155||||||||42.5689074|1.604528
node|51125157||||||||42.5690275|1.6045795
node|51125159||||||||42.5706218|1.6057094
node|51125330||||||||42.567361|1.6014004
node|51125332||||||||42.5673402|1.6012367
node|51125335||||||||42.56722|1.6012713
node|51125337||||||||42.5672075|1.6013408
node|51125340||||||||42.5672136|1.601376
node|51125342||||||||42.5672477|1.6014305
node|51125344||||||||42.5673442|1.6014237
node|51125478||||||||42.5667674|1.600159
node|51125727||||||||42.5644388|1.5930345
node|51125728||||||||42.5644833|1.5932032
node|51125730|Canillo|||||||42.5646855|1.5932317
node|51125738||||||||42.5657388|1.5971308
node|51125904||||||||42.5636156|1.5909031
node|51125905||||||||42.5637468|1.5909765
node|51126218||||||||42.561018|1.590236
node|51126219||||||||42.5617003|1.5903115
node|51126221||||||||42.5625689|1.590408
node|51126223||||||||42.562742|1.5904448
node|51126225||||||||42.5633253|1.590782
node|51126226||||||||42.5634361|1.5908305
node|51342422||||||||42.5500886|1.6962247
node|51342838||||||||42.5517477|1.6955834
node|51342840||||||||42.5517292|1.6953092
node|51342841||||||||42.5516906|1.6952608
node|51342842||||||||42.5515915|1.6952176
node|51342843||||||||42.5514242|1.6953554
node|51342844||||||||42.5514295|1.695588
node|51342845||||||||42.5514832|1.6956678
node|51342846||||||||42.5516108|1.6957104
node|51342848||||||||42.5516905|1.6956692
node|51342855||||||||42.5514494|1.6956263
node|51343031||||||||42.5514153|1.6955454
node|51343103||||||||42.5497567|1.6965866
node|51343571||||||||42.5480244|1.7347202
node|51343574||||||||42.5485654|1.7355727
node|51343576||||||||42.5488857|1.7365077
node|51343577||||||||42.5484957|1.7377973
node|51344120||||||||42.5490174|1.7372932
node|51344206||||||||42.5467907|1.733129
